ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
BL8;FLEJE ADHES.MIEL 132x48 C/6R;BL8;Fco.GONZALEZ & M.R.G. SL;774;1,08
BL9;AGUJAS BALEA A/VEGETAL 523GRS;BL9;CASH GALICIA, S. L.;40;3,45
BL9;AGUJAS BALEA A/VEGETAL 523GRS;BL9;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;16;4
BM1;PASTA FIDEO CABELLIN 1/500gr;BM1;PONTEVICUS, S. L.;24;0,46
BM2;CIZALLA;BM2;FERRETERIA PLAZA, S. L.;1;43,02
bm3;PINTURA ROJA 5KG;bm3;DITEGA-DIST.ALTA TEG. GALICIA S.L.;1;58,67
bm4;PINTURA BLANCA 5LT;bm4;DITEGA-DIST.ALTA TEG. GALICIA S.L.;8;58,26
BM5;DELANTAL HEBILLA 100x70cm;BM5;MERCASH SAR, S. L.;2;8,6
BM5;DELANTAL HEBILLA 100x70cm;BM5;FERNANDO ESCOLA, C.B.;2;3,2
BM6;SALCHICHAS VIENA 1/200Gr.;BM6;PONTEVICUS, S. L.;114;1,12
BM7;ACEITE OLIVA SUAVE LITRO;BM7;MERCASH SAR, S. L.;131;2,9
BM7;ACEITE OLIVA SUAVE LITRO;BM7;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;15;2,55
BM7;ACEITE OLIVA SUAVE LITRO;BM7;PONTEVICUS, S. L.;991;3,48
BM8;LEVADURA ROYAL 1/900gr;BM8;PONTEVICUS, S. L.;28;4,69
BM9;HARINA MAIZENA 1/700grs;BM9;MERCASH SAR, S. L.;168;1,89
BM9;HARINA MAIZENA 1/700grs;BM9;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;300;1,98
BN1;PASTA FIDEO PERLA 18/500grs;BN1;MERCASH SAR, S. L.;51;0,7
BN2;LUCES FLASH CARCASA MACIZA;BN2;EESL- ELECTRONICA EUTIMIO,SL;2;21,5
BN3;CEPILLO BARRENDERO FIBRA;BN3;FERRETERIA PLAZA, S. L.;24;3,92
BN3;CEPILLO BARRENDERO FIBRA;BN3;MAFERGA, S.A.;12;1,38
BN3;CEPILLO BARRENDERO FIBRA;BN3;VARIOS;1;0
BN4;CINTA CARROCERO PINTAR;BN4;FERRETERIA PLAZA, S. L.;45;1,48
BN6;GAFAS PROTECTORAS;BN6;EFECTOS NAVALES FERNANDEZ VILA, SL.;2;4,15
