ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
Q62;CHOPPED PAVO FIAMBRE;Q62;DIMERCA-DISTRIB. MERA Y CARMES S.L.;188;3,65
Q63;PECHUGA PAVO FIAMBRE;Q63;CAMPOFRIO FOOD GROUP S.A.U;2;4,6
Q63;PECHUGA PAVO FIAMBRE;Q63;PONTEVICUS, S. L.;13;4,7
Q63;PECHUGA PAVO FIAMBRE;Q63;V.R.FABRICA DE EMBUTIDOS S.L.;5;5,39
Q63;PECHUGA PAVO FIAMBRE;Q63;DIMERCA-DISTRIB. MERA Y CARMES S.L.;187.82;5,15
Q64;GUISANTES CONGELADOS 4/2500grs;Q64;CASH GALICIA, S. L.;3;0,85
Q64;GUISANTES CONGELADOS 4/2500grs;Q64;BECOGALIA AFINES S.L.(LOPEZ FREIRE);49;0,87
Q64;GUISANTES CONGELADOS 4/2500grs;Q64;PONTEVICUS, S. L.;1;0,49
Q64;GUISANTES CONGELADOS 4/2500grs;Q64;FANDICOSTA, S. A.;15;0,87
Q64;GUISANTES CONGELADOS 4/2500grs;Q64;ELMAR FROZEN FOOD SLU;127;0,9
Q64;GUISANTES CONGELADOS 4/2500grs;Q64;GAMBUZA S.L.;22;0,79
Q65;COLIFLOR CONGELADA 4/2500grs;Q65;CASH GALICIA, S. L.;2;0,88
Q65;COLIFLOR CONGELADA 4/2500grs;Q65;BECOGALIA AFINES S.L.(LOPEZ FREIRE);12;0,94
Q65;COLIFLOR CONGELADA 4/2500grs;Q65;PEREIRA HOSTELERIA S. A.;3;0,91
Q65;COLIFLOR CONGELADA 4/2500grs;Q65;FANDICOSTA, S. A.;2;0,98
Q65;COLIFLOR CONGELADA 4/2500grs;Q65;ELMAR FROZEN FOOD SLU;128;0,94
Q65;COLIFLOR CONGELADA 4/2500grs;Q65;GAMBUZA S.L.;5;0,91
Q66;COLES DE BRUSELAS 4/2500grs;Q66;BONFRIG FDC ULTRACONGELADOS S.A.;2;0,99
Q66;COLES DE BRUSELAS 4/2500grs;Q66;ELMAR FROZEN FOOD SLU;13;1,2
Q67;ZANAHORIA BABY CONG 4/2500gr;Q67;BECOGALIA AFINES S.L.(LOPEZ FREIRE);1;1,09
Q67;ZANAHORIA BABY CONG 4/2500gr;Q67;PONTEVICUS, S. L.;2;0,97
Q67;ZANAHORIA BABY CONG 4/2500gr;Q67;ELMAR FROZEN FOOD SLU;6;1,16
Q67;ZANAHORIA BABY CONG 4/2500gr;Q67;GAMBUZA S.L.;9;0,71
Q69;ENSALADILLA CONGELADA 4/2500gr;Q69;CASH GALICIA, S. L.;3;0,61
Q69;ENSALADILLA CONGELADA 4/2500gr;Q69;BECOGALIA AFINES S.L.(LOPEZ FREIRE);12;0,67
Q69;ENSALADILLA CONGELADA 4/2500gr;Q69;FANDICOSTA, S. A.;4;0,72
Q69;ENSALADILLA CONGELADA 4/2500gr;Q69;ELMAR FROZEN FOOD SLU;139;0,72
Q69;ENSALADILLA CONGELADA 4/2500gr;Q69;GAMBUZA S.L.;6;0,69
Q70;ESPINACAS CONGELADAS 4/2500grs;Q70;BONFRIG FDC ULTRACONGELADOS S.A.;8;0,85
Q70;ESPINACAS CONGELADAS 4/2500grs;Q70;ELMAR FROZEN FOOD SLU;5;1,05
Q71;BRECOL-BROCOLI CONG 4/2500grs;Q71;BECOGALIA AFINES S.L.(LOPEZ FREIRE);4;1
Q71;BRECOL-BROCOLI CONG 4/2500grs;Q71;FANDICOSTA, S. A.;16;0,83
Q71;BRECOL-BROCOLI CONG 4/2500grs;Q71;BONFRIG FDC ULTRACONGELADOS S.A.;14;0,85
Q71;BRECOL-BROCOLI CONG 4/2500grs;Q71;ELMAR FROZEN FOOD SLU;31;1,1
Q71;BRECOL-BROCOLI CONG 4/2500grs;Q71;GAMBUZA S.L.;1;0,94
Q72;ZANAHORIA DADO CONG. 4/2500gr;Q72;CASH GALICIA, S. L.;5;0,58
Q72;ZANAHORIA DADO CONG. 4/2500gr;Q72;BECOGALIA AFINES S.L.(LOPEZ FREIRE);25;0,59
Q72;ZANAHORIA DADO CONG. 4/2500gr;Q72;FANDICOSTA, S. A.;7;0,62
Q72;ZANAHORIA DADO CONG. 4/2500gr;Q72;FRUTAS SOL VIGO S.L.U.;1;0,55
Q72;ZANAHORIA DADO CONG. 4/2500gr;Q72;ELMAR FROZEN FOOD SLU;117;0,63
Q72;ZANAHORIA DADO CONG. 4/2500gr;Q72;GAMBUZA S.L.;9;0,6
Q73;CEBOLLAS DADO CONG 4/2500grs;Q73;CASH GALICIA, S. L.;4;0,85
Q73;CEBOLLAS DADO CONG 4/2500grs;Q73;BECOGALIA AFINES S.L.(LOPEZ FREIRE);16;0,96
Q73;CEBOLLAS DADO CONG 4/2500grs;Q73;MERCASH SAR, S. L.;1;1,22
Q73;CEBOLLAS DADO CONG 4/2500grs;Q73;MANUEL JARDON PEREZ-PATATAS JARDON;7;0,7
Q73;CEBOLLAS DADO CONG 4/2500grs;Q73;ELMAR FROZEN FOOD SLU;71;0,94
Q73;CEBOLLAS DADO CONG 4/2500grs;Q73;GAMBUZA S.L.;8;0,79
Q74;JUDIAS VERDES PLANA 4/2500gr;Q74;CASH GALICIA, S. L.;3;0,81
Q74;JUDIAS VERDES PLANA 4/2500gr;Q74;BECOGALIA AFINES S.L.(LOPEZ FREIRE);60;0,89
Q74;JUDIAS VERDES PLANA 4/2500gr;Q74;FANDICOSTA, S. A.;52;0,85
Q74;JUDIAS VERDES PLANA 4/2500gr;Q74;BONFRIG FDC ULTRACONGELADOS S.A.;2;1,04
Q74;JUDIAS VERDES PLANA 4/2500gr;Q74;ELMAR FROZEN FOOD SLU;103;0,89
Q74;JUDIAS VERDES PLANA 4/2500gr;Q74;GAMBUZA S.L.;12;0,85
Q75;JUDIAS VERDES REDONDA 4/2500gr;Q75;PEREIRA Y CAO DISTRIBUCION, S.L.;5;0,95
Q75;JUDIAS VERDES REDONDA 4/2500gr;Q75;FANDICOSTA, S. A.;2;0,85
Q75;JUDIAS VERDES REDONDA 4/2500gr;Q75;BONFRIG FDC ULTRACONGELADOS S.A.;5;0,83
Q75;JUDIAS VERDES REDONDA 4/2500gr;Q75;ELMAR FROZEN FOOD SLU;6;1,13
Q76;MENESTRA VERDURAS 4/2500gr;Q76;CASH GALICIA, S. L.;4;0,72
Q76;MENESTRA VERDURAS 4/2500gr;Q76;PEREIRA Y CAO DISTRIBUCION, S.L.;9;0,95
Q76;MENESTRA VERDURAS 4/2500gr;Q76;BECOGALIA AFINES S.L.(LOPEZ FREIRE);96;0,93
Q76;MENESTRA VERDURAS 4/2500gr;Q76;MERCASH SAR, S. L.;2;1,12
Q76;MENESTRA VERDURAS 4/2500gr;Q76;FANDICOSTA, S. A.;56;0,9
Q76;MENESTRA VERDURAS 4/2500gr;Q76;ELMAR FROZEN FOOD SLU;285;0,85
Q76;MENESTRA VERDURAS 4/2500gr;Q76;GAMBUZA S.L.;57;0,79
Q77;MACARRONES VEGETALES 5KG;Q77;MERCASH SAR, S. L.;3;6,85
Q77;MACARRONES VEGETALES 5KG;Q77;PONTEVICUS, S. L.;8;4,25
Q78;ACELGAS CONGELADAS 4/2500gr;Q78;BONFRIG FDC ULTRACONGELADOS S.A.;1;1,09
Q79;CHAMPI¥ON CONGELADO 4/2500grs;Q79;ELMAR FROZEN FOOD SLU;1;1,53
Q80;PALILLERO REDONDO C/200und;Q80;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;248;0,31
Q81;SERVILLETAS PAPEL C/40;Q81;PONTEVICUS, S. L.;7;12,4
Q82;PAPEL ALUMINIO 300MTS.;Q82;PONTEVICUS, S. L.;18;12,95
Q83;BOLSAS BASURA 30L.12PAQ/40UNDS;Q83;PONTEVICUS, S. L.;16;14,17
Q83;BOLSAS BASURA 30L.12PAQ/40UNDS;Q83;VARIOS;71;14,4
Q84;BOLSAS BASURA 100L. 30PAQ/10UN;Q84;PONTEVICUS, S. L.;5;30,3
Q84;BOLSAS BASURA 100L. 30PAQ/10UN;Q84;VARIOS;28;30,3
Q85;BACALAO SALADO 33/40;Q85;COMPAÑIA INDUSTRIALIZADR BACALAO SL;92;9,23
Q86;CABEZA BACALAO SALADA;Q86;COMPAÑIA INDUSTRIALIZADR BACALAO SL;27;4
Q87;TURRON DURO SUPREMA 10/300GRS;Q87;PONTEVICUS, S. L.;14;33,04
Q87;TURRON DURO SUPREMA 10/300GRS;Q87;ENTREPOT NAVAL VILLAGARCIA;25;32,9
Q88;ESENCIA ANIS 32/10ML;Q88;CASH GALICIA, S. L.;1;25,28
Q88;ESENCIA ANIS 32/10ML;Q88;ENTREPOT NAVAL VILLAGARCIA;6;19,2
Q89;CREMA PASTELERA KILO;Q89;COM. REYVI DE PANAD. Y PASTEL.,S.L.;563;3,6
Q89;CREMA PASTELERA KILO;Q89;CALDOS DEL NORTE, S.L.;12;3,42
Q90;QUESO RALLADO 4/KG;Q90;CASH IFA VIGO Sucs.de Waldo Riva,SL;3;40,92
Q90;QUESO RALLADO 4/KG;Q90;PONTEVICUS, S. L.;1;40,92
Q91;AJO GRANULADO 12/50GRS;Q91;DISTRIBUCIONES LORRI C.B.;4;7,84
Q91;AJO GRANULADO 12/50GRS;Q91;ENTREPOT NAVAL VILLAGARCIA;4;9
Q92;TURRON BLANDO SUPREMA 10/300GR;Q92;PONTEVICUS, S. L.;6;30,67
Q92;TURRON BLANDO SUPREMA 10/300GR;Q92;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;1;25
Q92;TURRON BLANDO SUPREMA 10/300GR;Q92;ENTREPOT NAVAL VILLAGARCIA;25;32,9
Q93;ALMENDRA RELLENA SUPREMA 10PAQ;Q93;PONTEVICUS, S. L.;14;15,63
Q93;ALMENDRA RELLENA SUPREMA 10PAQ;Q93;ENTREPOT NAVAL VILLAGARCIA;21;12,9
Q94;FIGURITA MAZAPAN SUPREMA 10PAQ;Q94;PONTEVICUS, S. L.;9;13,29
Q94;FIGURITA MAZAPAN SUPREMA 10PAQ;Q94;ENTREPOT NAVAL VILLAGARCIA;21;12,9
Q97;MACEDONIA DE VERDURAS 6/3KG;Q97;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;2;13,5
Q98;GELATINA VARIADA KILO;Q98;CALDOS DEL NORTE, S.L.;16;3,1
QA0;CABLE ACERO INOX 6X19 C/GAZA;QA0;JARCIAS Y ESLINGAS 2014, SL;2;183,47
QA1;DETERGENTE LAGARTO LIQ. 40LAV.;QA1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;45;2,16
QA2;TOALLERO DISPENSADOR INOX;QA2;MERCASH SAR, S. L.;1;40,95
QA4;DISPENSADOR/PORTAROLLO PAPEL H;QA4;FERRETERIA PLAZA, S. L.;3;6,68
QA5;BASCULA/DINAMOMETRO 100KG.;QA5;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;81,65
QA6;PLATO LLANO;QA6;FERRETERIA PLAZA, S. L.;2;1,15
QA6;PLATO LLANO;QA6;MAFERGA, S.A.;29;1
QA7;COLCHON MUELLES MENORCA 75;QA7;COLCHONERIA MARCO, S. L.;2;80
QA8;CINTA METRICA FIBRA VIDRIO 25M;QA8;FERRETERIA PLAZA, S. L.;1;10,21
QB0;BOBINA PAPEL D.CAPA 4.1KG 470M;QB0;HOSTPAPEL S.L.;10;9,98
QB2;HOJA SIERRA CALAR T-144-D;QB2;FERRETERIA PLAZA, S. L.;10;1,32
QB5;CINTA METRICA FIBRA VIDRIO 20M;QB5;FERRETERIA PLAZA, S. L.;2;8,16
QB6;CUERDA POLY-STEEL 10mm C/PLOMO;QB6;PAMPILLON CORDELERIAS, S.L.;1;4,15
QB7;MORTADELA CLASICA CAMPOFRIO;QB7;CASH GALICIA, S. L.;11;3,28
QB7;MORTADELA CLASICA CAMPOFRIO;QB7;CAMPOFRIO FOOD GROUP S.A.U;40;2,51
QB7;MORTADELA CLASICA CAMPOFRIO;QB7;MERCASH SAR, S. L.;7;3,94
QB7;MORTADELA CLASICA CAMPOFRIO;QB7;PONTEVICUS, S. L.;23;3,31
QB7;MORTADELA CLASICA CAMPOFRIO;QB7;DIMERCA-DISTRIB. MERA Y CARMES S.L.;1;2,39
QB8;DETERGENTE LAVADORA T/5K 66 LA;QB8;PONTEVICUS, S. L.;50;6,2
QB9;ESTACHA TRENZADA 32mm/50mt;QB9;PAMPILLON CORDELERIAS, S.L.;4;100,55
QC2;PUNTA GALVANIZ. C/PL 15X40kgs;QC2;FERNANDEZ Y COMESAÑA, S. L.;3;4,7
QC3;MAQUINA COSER SIRUBA;QC3;SACOS FERNANDEZ, S.L.;2;500
QC4;PATA CABRA-DESENCF AZUL 20/700;QC4;FERRETERIA PLAZA, S. L.;4;12,03
QC4;PATA CABRA-DESENCF AZUL 20/700;QC4;MAFERGA, S.A.;2;10,3
QC5;PLANCHA ASAR;QC5;FERRETERIA PLAZA, S. L.;1;37,19
QC5;PLANCHA ASAR;QC5;MAFERGA, S.A.;1;17,27
QC6;PUNTA GALVANIZ. C/PL 20X100kgs;QC6;FERNANDEZ Y COMESAÑA, S. L.;3;4,34
QC8;LECHE EVAPORADA 48/410gr;QC8;B&S FOODSERVICE B.V.;156;31,4
QD0;KUNG FU FIDEO GAMBA 30/85gr;QD0;PONTEVICUS, S. L.;3;20,1
QD0;KUNG FU FIDEO GAMBA 30/85gr;QD0;ENTREPOT NAVAL, S. L.;19;20,4
QD2;HILO CORAL/P.E. AZU/VE 2mm/200;QD2;PAMPILLON CORDELERIAS, S.L.;2;7,1
QD3;VINO TINTO DON SIMON 12/LT;QD3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;87;9,24
QD4;GRAPA ALUMINIO 3.1x18 C/500und;QD4;ENTREPOT NAVAL, S. L.;61;6
QD5;PILA ALKALINA LR06 C/720 Und;QD5;ENA-EFCT.NAVALES del ATLANTICO SL;30;108
QD6;PLOMO BARRIL PARA PESCA 350gr;QD6;PASAXE Suministros Navales, S. L.;25;3
QD9;ANZUELO 18/0 TOR.GAL ANC/100ud;QD9;PASAXE Suministros Navales, S. L.;14;23
QE3;MASA EMPANADA COCINERA 1/230GR;QE3;MERCASH SAR, S. L.;21;1,84
QE3;MASA EMPANADA COCINERA 1/230GR;QE3;PONTEVICUS, S. L.;4;0,91
QE4;TANZA 2.00 NEUTRA PT 1/500mt;QE4;CADILHE & SANTOS LDA;260;5,55
QE6;TANZA 3.00 ROJA PT 1/500mt;QE6;CADILHE & SANTOS LDA;12;5,6
QF0;BOLSA BASURA 85x105-R/10 COMUN;QF0;MERCASH SAR, S. L.;15;1,05
QF0;BOLSA BASURA 85x105-R/10 COMUN;QF0;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;2;1,65
QF0;BOLSA BASURA 85x105-R/10 COMUN;QF0;PONTEVICUS, S. L.;15;1,01
QF1;MANGUERA EGE-20 D.19 40MTS;QF1;SUMINISTROS PORRI¥O S.L.U.;1;204,03
QF2;BOTELLIN CO2 P/CHALECO;QF2;VIGO-COAST, S.L.;5;6,49
QF3;PASTILLA P/CHALECO;QF3;VIGO-COAST, S.L.;5;6,72
QF4;PINTURA VERDE 5LT;QF4;DITEGA-DIST.ALTA TEG. GALICIA S.L.;5;71,12
QF6;ATUN AC/VEGETAL OL-240 LATAS;QF6;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;26;1,25
QF7;CUERDA NYLON 16mm/200mt;QF7;PAMPILLON CORDELERIAS, S.L.;68;2,2
QF8;MARTILLO U¥A CARPINTERO;QF8;FERRETERIA PLAZA, S. L.;2;17,16
QF9;HIGOS BOLSA 400grs;QF9;CASH GALICIA, S. L.;15;2,5
QF9;HIGOS BOLSA 400grs;QF9;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;255;1,39
QF9;HIGOS BOLSA 400grs;QF9;COMERCIAL VALQUIN, S. L.;70;2,31
QF9;HIGOS BOLSA 400grs;QF9;QUIVAL, S. A.;60;2,21
QG0;TRONQUITO MERLUZA AUST. H/G/T;QG0;PEREIRA HOSTELERIA S. A.;7;2,7
QG1;JABON LAGARTO PASTILLA 1/250gr;QG1;ENTREPOT NAVAL, S. L.;106;0,43
QG3;HILO NYLON VERDE 5mm/100mts;QG3;PAMPILLON CORDELERIAS, S.L.;3;9,5
QG4;GRILLETE INOX RCP 16mm;QG4;EFECTOS NAVALES FERNANDEZ VILA, SL.;2;12,09
QG4;GRILLETE INOX RCP 16mm;QG4;TECNICARTON, S. L.;2;12,09
QG5;VINO MONAGUILLO GODELLO;QG5;TOMAS FERNANDEZ,S.L.-DISTRIBUCIONES;63;5,94
QG7;GALLETAS MARIA FONTANEDA 6/800;QG7;MERCASH SAR, S. L.;166;1,42
QG7;GALLETAS MARIA FONTANEDA 6/800;QG7;PONTEVICUS, S. L.;15;9,6
QG8;LEVADURA ROYAL 5Sob.80grs Paq.;QG8;MERCASH SAR, S. L.;10;1,19
QG8;LEVADURA ROYAL 5Sob.80grs Paq.;QG8;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;31;1,35
QG8;LEVADURA ROYAL 5Sob.80grs Paq.;QG8;PONTEVICUS, S. L.;1;43,84
QH1;PASADOR CANALETA INOX GRANDE;QH1;EFECTOS NAVALES FERNANDEZ VILA, SL.;4;31,84
QH4;AGUJA MAQUINA DE COSER;QH4;SACOS FERNANDEZ, S.L.;10;2
QH5;PLOMO BARRIL PARA PESCA 200gr;QH5;EFECTOS NAVALES LITA;311;0,71
QH6;PLOMO BARRIL PARA PESCA 250gr;QH6;EFECTOS NAVALES LITA;180;1,14
QH7;LIMPIA VITROCLEN 1/200ml;QH7;MERCASH SAR, S. L.;3;2,62
QH7;LIMPIA VITROCLEN 1/200ml;QH7;PONTEVICUS, S. L.;7;3,2
QH8;CHOCOLATE MILKA 1/280GR.;QH8;MERCASH SAR, S. L.;18;2,05
QH8;CHOCOLATE MILKA 1/280GR.;QH8;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;83;1,81
QH9;PATE LA PIARA TAPA NEG.3x75GR.;QH9;MERCASH SAR, S. L.;8;1,02
QH9;PATE LA PIARA TAPA NEG.3x75GR.;QH9;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;9;2,1
QH9;PATE LA PIARA TAPA NEG.3x75GR.;QH9;PONTEVICUS, S. L.;9;2,25
QI1;GALLETAS R/CHOCO MILKA 1/300gr;QI1;MERCASH SAR, S. L.;60;2,01
QI1;GALLETAS R/CHOCO MILKA 1/300gr;QI1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;24;1,75
QI1;GALLETAS R/CHOCO MILKA 1/300gr;QI1;PONTEVICUS, S. L.;10;2,55
QI2;EMPANADA CONG. 3.3KG;QI2;ELMAR FROZEN FOOD SLU;15;12,35
QI3;EMPANADA ATUN 3.3 KG.;QI3;ELMAR FROZEN FOOD SLU;17;12,36
QI4;LECHE CONDENSADA LECHERA 1/450;QI4;MERCASH SAR, S. L.;15;1,99
QI4;LECHE CONDENSADA LECHERA 1/450;QI4;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;22;1,82
QI4;LECHE CONDENSADA LECHERA 1/450;QI4;PONTEVICUS, S. L.;15;1,91
QI5;ACEITUNA C/H 6/550G;QI5;PONTEVICUS, S. L.;4;17,94
QI6;NESCAF DOLCE G. CORTADO 16U;QI6;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;30;3,57
QI6;NESCAF DOLCE G. CORTADO 16U;QI6;PONTEVICUS, S. L.;18;3,6
QI7;PASTA MARAVILLA GALLO 1/500grs;QI7;MERCASH SAR, S. L.;5;0,66
QI7;PASTA MARAVILLA GALLO 1/500grs;QI7;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;91;0,64
QI7;PASTA MARAVILLA GALLO 1/500grs;QI7;PONTEVICUS, S. L.;2;0,85
QI8;PASTA PI¥ONES GALLO 1/500grs;QI8;MERCASH SAR, S. L.;46;0,69
QI8;PASTA PI¥ONES GALLO 1/500grs;QI8;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;46;0,64
QI8;PASTA PI¥ONES GALLO 1/500grs;QI8;PONTEVICUS, S. L.;43;0,64
QI9;PASTA FIDEO GALLO N/0 1/500grs;QI9;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;18;0,7
QJ0;PASTA FIDEO GALLO N/2 1/500grs;QJ0;PONTEVICUS, S. L.;24;0,81
QJ1;ARROZ VAPORIZADO 12/KG;QJ1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;55;10,22
QJ2;PALETA YORK;QJ2;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;2;3,49
QJ2;PALETA YORK;QJ2;DIMERCA-DISTRIB. MERA Y CARMES S.L.;13;2,85
QJ3;LENTEJA CASTELLANA LUENGO KG.;QJ3;MERCASH SAR, S. L.;15;2,25
QJ3;LENTEJA CASTELLANA LUENGO KG.;QJ3;PONTEVICUS, S. L.;5;2,65
QJ5;PIMIENTO PIQUILLO 1/350GR;QJ5;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;15;0,95
QJ6;CUERDA NYLON CORRED. 12mm/100m;QJ6;PAMPILLON CORDELERIAS, S.L.;138;1,5
QJ8;HABAS LUENGO 1/KG;QJ8;PONTEVICUS, S. L.;20;2,45
QJ9;PATATAS RUFFLES JAMON 19/170gr;QJ9;MERCASH SAR, S. L.;2;26,41
QK1;AROMA MAGGI 1/200ML;QK1;PENTRADE B.V.-Duty Free Wholesaler;3;0,59
QK1;AROMA MAGGI 1/200ML;QK1;ENTREPOT NAVAL, S. L.;644;0,87
QK2;TOMATE FRITO LATA 1/2500GR;QK2;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;45;1,99
QK3;SALSA TOMATE BOLO¥ESA 1/300GR;QK3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;50;0,8
QK4;PEPINILLOS VINAGRE FCO. 1/370G;QK4;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;12;0,79
QK6;VINO ALTOS DE TAMARON BOTELLA;QK6;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;6;3,75
QK7;VINO R.DUERO PRUNO C/6Bot.;QK7;MERCASH SAR, S. L.;2;44,62
QK9;MUELA GRAPADORA "B" 3.30mm;QK9;A POUTADA, S. L.;5;15,36
QK9;MUELA GRAPADORA "B" 3.30mm;QK9;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;3;25,2
QK9;MUELA GRAPADORA "B" 3.30mm;QK9;ENTREPOT NAVAL, S. L.;1;14,8
QL0;CAJA PANERA IMITAC.CUERO;QL0;TIENDATIENDA S.L.;1;9,08
QL1;MANGUERA EGE-10 40mm. R/40mt;QL1;SUMINISTROS PORRI¥O S.L.U.;1;304,51
QL2;DATILES 250GRS;QL2;PONTEVICUS, S. L.;56;1,2
QL3;LICOR DE MANZANA 70CL;QL3;PONTEVICUS, S. L.;8;2,45
QL4;LICOR DE MELOCOTON 70CL;QL4;PONTEVICUS, S. L.;8;2,45
QL6;PASTA HELICES 1/500grs;QL6;MERCASH SAR, S. L.;34;0,87
QL6;PASTA HELICES 1/500grs;QL6;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;6;0,85
QL7;NUECES CASCARA BOLSA 5KG;QL7;PONTEVICUS, S. L.;15;25
QL8;LEJIA USO.ALIM.ECOGREEN 5LT.;QL8;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;25;3,02
QL9;CUCHILLO ARCOS Ref/2848;QL9;EFECTOS NAVALES FERNANDEZ VILA, SL.;2;11,14
QM0;AGUJA DE CERDO C/HUESO CONG.;QM0;CHOLO CARNICAS, S. L.;4;3,13
QM0;AGUJA DE CERDO C/HUESO CONG.;QM0;V.R.FABRICA DE EMBUTIDOS S.L.;5;4,35
QM1;CODILLO CERDO FRESCO;QM1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;3,15
QM2;LAUREL HOJA 200gr BOTE IND;QM2;DISTRIBUCIONES LORRI C.B.;5;4,27
QM3;PIMIENTA BLANCA GRANO 800GR;QM3;DISTRIBUCIONES LORRI C.B.;4;11,7
QM4;JENGIBRE;QM4;FRUTAS NIEVES, S.L.;2;2,95
QM4;JENGIBRE;QM4;DISTRIBUCIONES LORRI C.B.;1;21,91
QM4;JENGIBRE;QM4;FRUTAS SOL VIGO S.L.U.;1;2,75
QM6;TURRON BLANDO SUPREMA 15/300GR;QM6;PONTEVICUS, S. L.;11;48,75
QM7;TURRON DURO SUPERMA 11/300GRS;QM7;PONTEVICUS, S. L.;21;35,75
QM8;FIGURITA MAZAPAN SUPREMA 11PAQ;QM8;MERCASH SAR, S. L.;1;13,53
QM8;FIGURITA MAZAPAN SUPREMA 11PAQ;QM8;PONTEVICUS, S. L.;2;13,2
QM9;ALMENDRA RELLENA SUPREMA 11PAQ;QM9;MERCASH SAR, S. L.;1;14,19
QM9;ALMENDRA RELLENA SUPREMA 11PAQ;QM9;PONTEVICUS, S. L.;9;13,2
QN0;CUERDA 18MM DE 20MT GAZA C/CAS;QN0;PAMPILLON CORDELERIAS, S.L.;1;38,5
QN3;GIN TANQUERAY 47,3§ 1/700ml;QN3;MERCASH SAR, S. L.;5;10,89
QN3;GIN TANQUERAY 47,3§ 1/700ml;QN3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;9,65
QN4;TUBO REDONDO 30x2MM;QN4;HIROMEGAL S.L.;13.2;2,04
QN5;FRUTAS ESCARCHADAS 4000GR;QN5;COM. REYVI DE PANAD. Y PASTEL.,S.L.;2;22
QN7;CUCHILLO ARCOS Ref/2811;QN7;EFECTOS NAVALES FERNANDEZ VILA, SL.;2;6,39
QN8;CINTA LETRATAG PLEX BCO/NEGRO;QN8;PAZ-DISMAC, S.L.;3;6
QN9;CARTUCHO IMPRESORA 16XL NEGRO;QN9;NEXO EQUIPAMIENTO MODULAR OFICINAS;5;49,66
QN9;CARTUCHO IMPRESORA 16XL NEGRO;QN9;PAZ-DISMAC, S.L.;2;18,3
QO0;FILETE TERNERA CONGELADO;QO0;CHOLO CARNICAS, S. L.;162;7,33
QO0;FILETE TERNERA CONGELADO;QO0;V.R.FABRICA DE EMBUTIDOS S.L.;16;7,89
QO1;CESTA FREIDORA Und.;QO1;SERVIHOSTEL-JUAN EXTREMADURA S.L.;1;82,47
QO2;PIMIENTA ROSA GRANO 6/15GRS;QO2;PRODUCTOS JAUJA,S.A.;1;2,04
QO6;ANZUELO 9/0 INOX TORC ANC/100;QO6;O.MUSTAD&SON PORTUGAL LDA;3;42
QO7;CHOCOLATE C/LE.NESTLE 28/250GR;QO7;MERCASH SAR, S. L.;7;19,04
QO8;GALLETAS R/CHOCO PRINC.18/100G;QO8;PONTEVICUS, S. L.;6;20,7
QO9;GALLETAS CREME GULLON 12/800G;QO9;PONTEVICUS, S. L.;20;26,71
QP0;PATE SALMON 12/125GRS;QP0;DIMERCA-DISTRIB. MERA Y CARMES S.L.;4;11,17
QP1;TIJERA REMOLQUE;QP1;PAMPILLON CORDELERIAS, S.L.;1;335
QP4;VINO ALBARI¥O 6/750cl;QP4;MERCASH SAR, S. L.;1;56,52
QP4;VINO ALBARI¥O 6/750cl;QP4;PONTEVICUS, S. L.;2;34,5
QP4;VINO ALBARI¥O 6/750cl;QP4;QUINTA DE ZAMAR, S.L.;19;35,81
QP5;TURRON YEMA TOSTADA 1/300GR;QP5;PONTEVICUS, S. L.;225;2,5
QP6;BARRITAS CHOCOLATE 1.6KG;QP6;COM. REYVI DE PANAD. Y PASTEL.,S.L.;7;6,86
QP7;CUCURUCHO HELADO CONO OLDC/240;QP7;COM. REYVI DE PANAD. Y PASTEL.,S.L.;1;19,79
QR0;TE CHAI  C/20 SOBRES;QR0;PONTEVICUS, S. L.;3;1,23
